,digital,TV,radio,newspaper,sales
660,21.4,210.7,29.5,9.3,18.4
661,54.7,53.5,2,21.4,8.1
662,27.3,261.3,42.7,54.7,24.2
663,8.4,239.3,15.5,27.3,15.7
664,28.9,102.7,29.6,8.4,14
665,0.9,131.1,42.8,28.9,18
666,2.2,69,9.3,0.9,9.3
667,10.2,31.5,24.6,2.2,9.5
668,11,139.3,14.5,10.2,13.4
669,27.2,237.4,27.5,11,18.9
670,38.7,216.8,43.9,27.2,22.3
671,31.7,199.1,30.6,38.7,18.3
672,19.3,109.8,14.3,31.7,12.4
673,31.3,26.8,33,19.3,8.8
674,13.1,129.4,5.7,31.3,11
675,89.4,213.4,24.6,13.1,17
676,20.7,16.9,43.7,89.4,8.7
677,14.2,27.5,1.6,20.7,6.9
678,9.4,120.5,28.5,14.2,14.2
679,23.1,5.4,29.9,9.4,5.3
680,22.3,116,7.7,23.1,11
681,86.25,76.4,26.7,22.3,11.8
682,180.3,239.8,4.1,36.9,12.3
683,12.9,75.3,20.3,32.5,11.3
684,299.7,68.4,44.5,35.6,13.6
685,99.15,213.5,43,33.8,21.7
686,322.05,193.2,18.4,65.7,15.2
687,35.7,76.3,27.5,16,12
688,146.25,110.7,40.6,63.2,16
689,306.15,88.3,25.5,73.4,12.9
690,293.1,109.8,47.8,51.4,16.7
691,101.7,134.3,4.9,9.3,11.2
692,422.1,28.6,1.5,33,7.3
693,103.8,217.7,33.5,59,19.4
694,220.95,250.9,36.5,72.3,22.2
695,327.6,107.4,14,10.9,11.5
696,356.1,163.3,31.6,52.9,16.9
697,19.8,197.6,3.5,5.9,11.7
698,342.45,184.9,21,22,15.5
699,93.45,289.7,42.3,51.2,25.4
700,394.35,135.2,41.7,45.9,17.2
701,214.35,222.4,4.3,49.8,11.7
702,360.15,296.4,36.3,100.9,23.8
703,373.2,280.2,10.1,21.4,14.8
704,105.9,187.9,17.2,17.9,14.7
705,439.35,238.2,34.3,5.3,20.7
706,169.35,137.9,46.4,59,19.2
707,145.8,25,11,29.7,7.2
708,398.4,90.4,0.3,23.2,8.7
709,143.55,13.1,0.4,25.6,5.3
710,436.05,255.4,26.9,5.5,19.8
711,400.35,225.8,8.2,56.5,13.4
712,112.05,241.7,38,23.2,21.8
713,64.65,175.7,15.4,2.4,14.1
714,342,209.6,20.6,10.7,15.9
715,303.75,78.2,46.8,34.5,14.6
716,265.5,75.1,35,52.7,12.6
717,440.4,139.2,14.3,25.6,12.2
718,310.35,76.4,0.8,14.8,9.4
719,37.65,125.7,36.9,79.2,15.9
720,262.65,19.4,16,22.3,6.6
721,134.55,141.3,26.8,46.2,15.5
722,359.85,18.8,21.7,50.4,7
723,340.8,224,2.4,15.6,11.6
724,100.35,123.1,34.6,12.4,15.2
725,299.7,229.5,32.3,74.2,19.7
726,150.6,87.2,11.8,25.9,10.6
727,324.6,7.8,38.9,50.6,6.6
728,273.9,80.2,0,9.2,8.8
729,394.05,220.3,49,3.2,24.7
730,298.35,59.6,12,43.1,9.7
731,10.95,0.7,39.6,8.7,1.6
732,204.3,265.2,2.9,43,12.7
733,316.2,8.4,27.2,2.1,5.7
734,316.05,219.8,33.5,45.1,19.6
735,80.25,36.9,38.6,65.6,10.8
736,391.95,48.3,47,8.5,11.6
737,358.95,25.6,39,9.3,9.5
738,154.05,273.7,28.9,59.7,20.8
739,196.65,43,25.9,20.5,9.6
740,12.9,184.9,43.9,1.7,20.7
741,75.6,73.4,17,12.9,10.9
742,37.9,193.7,35.4,75.6,19.2
743,34.4,220.5,33.2,37.9,20.1
744,38.9,104.6,5.7,34.4,10.4
745,9,96.2,14.8,38.9,11.4
746,8.7,140.3,1.9,9,10.3
747,44.3,240.1,7.3,8.7,13.2
748,11.9,243.2,49,44.3,25.4
749,20.6,38,40.3,11.9,10.9
750,37,44.7,25.8,20.6,10.1
751,48.7,280.7,13.9,37,16.1
752,14.2,121,8.4,48.7,11.6
753,37.7,197.6,23.3,14.2,16.6
754,9.5,171.3,39.7,37.7,19
755,5.7,187.8,21.1,9.5,15.6
756,50.5,4.1,11.6,5.7,3.2
757,24.3,93.9,43.5,50.5,15.3
758,45.2,149.8,1.3,24.3,10.1
759,34.6,11.7,36.9,45.2,7.3
760,30.7,131.7,18.4,34.6,12.9
761,49.3,172.5,18.1,30.7,14.4
762,25.6,85.7,35.8,49.3,13.3
763,7.4,188.4,18.1,25.6,14.9
764,5.4,163.5,36.8,7.4,18
765,84.8,117.2,14.7,5.4,11.9
766,21.6,234.5,3.4,84.8,11.9
767,19.4,17.9,37.6,21.6,8
768,57.6,206.8,5.2,19.4,12.2
769,6.4,215.4,23.6,57.6,17.1
770,18.4,284.3,10.6,6.4,15
771,47.4,50,11.6,18.4,8.4
772,17,164.5,20.9,47.4,14.5
773,12.8,19.6,20.1,17,7.6
774,13.1,168.4,7.1,12.8,11.7
775,41.8,222.4,3.4,13.1,11.5
776,20.3,276.9,48.9,41.8,27
777,35.2,248.4,30.2,20.3,20.2
778,23.7,170.2,7.8,35.2,11.7
779,17.6,276.7,2.3,23.7,11.8
780,8.3,165.6,10,17.6,12.6
781,27.4,156.6,2.6,8.3,10.5
782,29.7,218.5,5.4,27.4,12.2
783,71.8,56.2,5.7,29.7,8.7
784,30,287.6,43,71.8,26.2
785,19.6,253.8,21.3,30,17.6
786,26.6,205,45.1,19.6,22.6
787,18.2,139.5,2.1,26.6,10.3
788,3.7,191.1,28.7,18.2,17.3
789,23.4,286,13.9,3.7,15.9
790,5.8,18.7,12.1,23.4,6.7
791,6,39.5,41.1,5.8,10.8
792,31.6,75.5,10.8,6,9.9
793,3.6,17.2,4.1,31.6,5.9
794,6,166.8,42,3.6,19.6
795,13.8,149.7,35.6,6,17.3
796,8.1,38.2,3.7,13.8,7.6
797,6.4,94.2,4.9,8.1,9.7
798,66.2,177,9.3,6.4,12.8
799,8.7,283.6,42,66.2,25.5
800,69.2,232.1,8.6,8.7,13.4
801,45.1,230.1,37.8,69.2,22.1
802,69.3,44.5,39.3,45.1,10.4
803,58.5,17.2,45.9,69.3,9.3
804,58.4,151.5,41.3,58.5,18.5
805,75,180.8,10.8,58.4,12.9
806,23.5,8.7,48.9,75,7.2
807,11.6,57.5,32.8,23.5,11.8
808,1,120.2,19.6,11.6,13.2
809,21.2,8.6,2.1,1,4.8
810,24.2,199.8,2.6,21.2,10.6
811,4,66.1,5.8,24.2,8.6
812,65.9,214.7,24,4,17.4
813,7.2,23.8,35.1,65.9,9.2
814,46,97.5,7.6,7.2,9.7
815,52.9,204.1,32.9,46,19
816,114,195.4,47.7,52.9,22.4
817,55.8,67.8,36.6,114,12.5
818,18.3,281.4,39.6,55.8,24.4
819,19.1,69.2,20.5,18.3,11.3
820,53.4,147.3,23.9,19.1,14.6
821,23.5,218.4,27.7,53.4,18
822,49.6,237.4,5.1,23.5,12.5
823,26.2,13.2,15.9,49.6,5.6
824,18.3,228.3,16.9,26.2,15.5
825,19.5,62.3,12.6,18.3,9.7
826,12.6,262.9,3.5,19.5,12
827,22.9,142.9,29.3,12.6,15
828,22.9,240.1,16.7,22.9,15.9
829,40.8,248.8,27.1,22.9,18.9
830,43.2,70.6,16,40.8,10.5
831,38.6,292.9,28.3,43.2,21.4
832,30,112.9,17.4,38.6,11.9
833,0.3,97.2,1.5,30,9.6
834,7.4,265.6,20,0.3,17.4
835,8.5,95.7,1.4,7.4,9.5
836,5,290.7,4.1,8.5,12.8
837,45.7,266.9,43.8,5,25.4
838,35.1,74.7,49.4,45.7,14.7
839,32,43.1,26.7,35.1,10.1
840,31.6,228,37.7,32,21.5
841,38.7,202.5,22.3,31.6,16.6
842,1.8,177,33.4,38.7,17.1
843,26.4,293.6,27.7,1.8,20.7
844,43.3,206.9,8.4,26.4,12.9
845,31.5,25.1,25.7,43.3,8.5
846,35.7,175.1,22.5,31.5,14.9
847,18.5,89.7,9.9,35.7,10.6
848,49.9,239.9,41.5,18.5,23.2
849,36.8,227.2,15.8,49.9,14.8
850,34.6,66.9,11.7,36.8,9.7
851,3.6,199.8,3.1,34.6,11.4
852,39.6,100.4,9.6,3.6,10.7
853,58.7,216.4,41.7,39.6,22.6
854,15.9,182.6,46.2,58.7,21.2
855,60,262.7,28.8,15.9,20.2
856,41.4,198.9,49.4,60,23.7
857,16.6,7.3,28.1,41.4,5.5
858,37.7,136.2,19.2,16.6,13.2
859,9.3,210.8,49.6,37.7,23.8
860,21.4,210.7,29.5,9.3,18.4
861,54.7,53.5,2,21.4,8.1
862,27.3,261.3,42.7,54.7,24.2
863,8.4,239.3,15.5,27.3,15.7
864,28.9,102.7,29.6,8.4,14
865,0.9,131.1,42.8,28.9,18
866,2.2,69,9.3,0.9,9.3
867,10.2,31.5,24.6,2.2,9.5
868,11,139.3,14.5,10.2,13.4
869,27.2,237.4,27.5,11,18.9
870,38.7,216.8,43.9,27.2,22.3
871,31.7,199.1,30.6,38.7,18.3
872,19.3,109.8,14.3,31.7,12.4
873,31.3,26.8,33,19.3,8.8
874,13.1,129.4,5.7,31.3,11
875,89.4,213.4,24.6,13.1,17
876,20.7,16.9,43.7,89.4,8.7
877,14.2,27.5,1.6,20.7,6.9
878,9.4,120.5,28.5,14.2,14.2
879,23.1,5.4,29.9,9.4,5.3
880,22.3,116,7.7,23.1,11
881,36.9,76.4,26.7,22.3,11.8
882,32.5,239.8,4.1,36.9,12.3
883,35.6,75.3,20.3,32.5,11.3
884,33.8,68.4,44.5,35.6,13.6
885,65.7,213.5,43,33.8,21.7
886,16,193.2,18.4,65.7,15.2
887,63.2,76.3,27.5,16,12
888,73.4,110.7,40.6,63.2,16
889,51.4,88.3,25.5,73.4,12.9
890,9.3,109.8,47.8,51.4,16.7
891,33,134.3,4.9,9.3,11.2
892,59,28.6,1.5,33,7.3
893,72.3,217.7,33.5,59,19.4
894,10.9,250.9,36.5,72.3,22.2
895,52.9,107.4,14,10.9,11.5
896,5.9,163.3,31.6,52.9,16.9
897,22,197.6,3.5,5.9,11.7
898,51.2,184.9,21,22,15.5
899,45.9,289.7,42.3,51.2,25.4
900,49.8,135.2,41.7,45.9,17.2
901,100.9,222.4,4.3,49.8,11.7
902,21.4,296.4,36.3,100.9,23.8
903,17.9,280.2,10.1,21.4,14.8
904,5.3,187.9,17.2,17.9,14.7
905,59,238.2,34.3,5.3,20.7
906,29.7,137.9,46.4,59,19.2
907,23.2,25,11,29.7,7.2
908,25.6,90.4,0.3,23.2,8.7
909,5.5,13.1,0.4,25.6,5.3
910,56.5,255.4,26.9,5.5,19.8
911,23.2,225.8,8.2,56.5,13.4
912,2.4,241.7,38,23.2,21.8
913,10.7,175.7,15.4,2.4,14.1
914,34.5,209.6,20.6,10.7,15.9
915,52.7,78.2,46.8,34.5,14.6
916,25.6,75.1,35,52.7,12.6
917,14.8,139.2,14.3,25.6,12.2
918,79.2,76.4,0.8,14.8,9.4
919,22.3,125.7,36.9,79.2,15.9
920,46.2,19.4,16,22.3,6.6
921,50.4,141.3,26.8,46.2,15.5
922,15.6,18.8,21.7,50.4,7
923,12.4,224,2.4,15.6,11.6
924,74.2,123.1,34.6,12.4,15.2
925,25.9,229.5,32.3,74.2,19.7
926,50.6,87.2,11.8,25.9,10.6
927,9.2,7.8,38.9,50.6,6.6
928,3.2,80.2,0,9.2,8.8
929,43.1,220.3,49,3.2,24.7
930,8.7,59.6,12,43.1,9.7
931,43,0.7,39.6,8.7,1.6
932,2.1,265.2,2.9,43,12.7
933,45.1,8.4,27.2,2.1,5.7
934,65.6,219.8,33.5,45.1,19.6
935,8.5,36.9,38.6,65.6,10.8
936,9.3,48.3,47,8.5,11.6
937,59.7,25.6,39,9.3,9.5
938,20.5,273.7,28.9,59.7,20.8
939,1.7,43,25.9,20.5,9.6
940,12.9,184.9,43.9,1.7,20.7
941,75.6,73.4,17,12.9,10.9
942,37.9,193.7,35.4,75.6,19.2
943,34.4,220.5,33.2,37.9,20.1
944,38.9,104.6,5.7,34.4,10.4
945,9,96.2,14.8,38.9,11.4
946,8.7,140.3,1.9,9,10.3
947,44.3,240.1,7.3,8.7,13.2
948,11.9,243.2,49,44.3,25.4
949,20.6,38,40.3,11.9,10.9
950,37,44.7,25.8,20.6,10.1
951,48.7,280.7,13.9,37,16.1
952,14.2,121,8.4,48.7,11.6
953,37.7,197.6,23.3,14.2,16.6
954,9.5,171.3,39.7,37.7,19
955,5.7,187.8,21.1,9.5,15.6
956,50.5,4.1,11.6,5.7,3.2
957,24.3,93.9,43.5,50.5,15.3
958,45.2,149.8,1.3,24.3,10.1
959,34.6,11.7,36.9,45.2,7.3
960,30.7,131.7,18.4,34.6,12.9
961,49.3,172.5,18.1,30.7,14.4
962,25.6,85.7,35.8,49.3,13.3
963,7.4,188.4,18.1,25.6,14.9
964,5.4,163.5,36.8,7.4,18
965,84.8,117.2,14.7,5.4,11.9
966,21.6,234.5,3.4,84.8,11.9
967,19.4,17.9,37.6,21.6,8
968,57.6,206.8,5.2,19.4,12.2
969,6.4,215.4,23.6,57.6,17.1
970,18.4,284.3,10.6,6.4,15
971,47.4,50,11.6,18.4,8.4
972,17,164.5,20.9,47.4,14.5
973,12.8,19.6,20.1,17,7.6
974,13.1,168.4,7.1,12.8,11.7
975,41.8,222.4,3.4,13.1,11.5
976,20.3,276.9,48.9,41.8,27
977,35.2,248.4,30.2,20.3,20.2
978,23.7,170.2,7.8,35.2,11.7
979,17.6,276.7,2.3,23.7,11.8
980,8.3,165.6,10,17.6,12.6
981,27.4,156.6,2.6,8.3,10.5
982,29.7,218.5,5.4,27.4,12.2
983,71.8,56.2,5.7,29.7,8.7
984,30,287.6,43,71.8,26.2
985,19.6,253.8,21.3,30,17.6
986,26.6,205,45.1,19.6,22.6
987,18.2,139.5,2.1,26.6,10.3
988,3.7,191.1,28.7,18.2,17.3
989,23.4,286,13.9,3.7,15.9
990,5.8,18.7,12.1,23.4,6.7
991,6,39.5,41.1,5.8,10.8
992,31.6,75.5,10.8,6,9.9
993,3.6,17.2,4.1,31.6,5.9
994,6,166.8,42,3.6,19.6
995,13.8,149.7,35.6,6,17.3
996,8.1,38.2,3.7,13.8,7.6
997,6.4,94.2,4.9,8.1,9.7
998,66.2,177,9.3,6.4,12.8
999,8.7,283.6,42,66.2,25.5
1000,69.2,232.1,8.6,8.7,13.4
1001,45.1,230.1,37.8,69.2,22.1
1002,69.3,44.5,39.3,45.1,10.4
1003,58.5,17.2,45.9,69.3,9.3
1004,58.4,151.5,41.3,58.5,18.5
1005,75,180.8,10.8,58.4,12.9
1006,23.5,8.7,48.9,75,7.2
1007,11.6,57.5,32.8,23.5,11.8
1008,1,120.2,19.6,11.6,13.2
1009,21.2,8.6,2.1,1,4.8
1010,24.2,199.8,2.6,21.2,10.6
1011,4,66.1,5.8,24.2,8.6
1012,65.9,214.7,24,4,17.4
1013,7.2,23.8,35.1,65.9,9.2
1014,46,97.5,7.6,7.2,9.7
1015,52.9,204.1,32.9,46,19
1016,114,195.4,47.7,52.9,22.4
1017,55.8,67.8,36.6,114,12.5
1018,18.3,281.4,39.6,55.8,24.4
1019,19.1,69.2,20.5,18.3,11.3
1020,53.4,147.3,23.9,19.1,14.6
1021,23.5,218.4,27.7,53.4,18
1022,49.6,237.4,5.1,23.5,12.5
1023,26.2,13.2,15.9,49.6,5.6
1024,18.3,228.3,16.9,26.2,15.5
1025,19.5,62.3,12.6,18.3,9.7
1026,12.6,262.9,3.5,19.5,12
1027,22.9,142.9,29.3,12.6,15
1028,22.9,240.1,16.7,22.9,15.9
1029,40.8,248.8,27.1,22.9,18.9
1030,43.2,70.6,16,40.8,10.5
1031,38.6,292.9,28.3,43.2,21.4
1032,30,112.9,17.4,38.6,11.9
1033,0.3,97.2,1.5,30,9.6
1034,7.4,265.6,20,0.3,17.4
1035,8.5,95.7,1.4,7.4,9.5
1036,5,290.7,4.1,8.5,12.8
1037,45.7,266.9,43.8,5,25.4
1038,35.1,74.7,49.4,45.7,14.7
1039,32,43.1,26.7,35.1,10.1
1040,31.6,228,37.7,32,21.5
1041,38.7,202.5,22.3,31.6,16.6
1042,1.8,177,33.4,38.7,17.1
1043,26.4,293.6,27.7,1.8,20.7
1044,43.3,206.9,8.4,26.4,12.9
1045,31.5,25.1,25.7,43.3,8.5
1046,35.7,175.1,22.5,31.5,14.9
1047,18.5,89.7,9.9,35.7,10.6
1048,49.9,239.9,41.5,18.5,23.2
1049,36.8,227.2,15.8,49.9,14.8
1050,34.6,66.9,11.7,36.8,9.7
1051,3.6,199.8,3.1,34.6,11.4
1052,39.6,100.4,9.6,3.6,10.7
1053,58.7,216.4,41.7,39.6,22.6
1054,15.9,182.6,46.2,58.7,21.2
1055,60,262.7,28.8,15.9,20.2
1056,41.4,198.9,49.4,60,23.7
1057,16.6,7.3,28.1,41.4,5.5
1058,37.7,136.2,19.2,16.6,13.2
1059,9.3,210.8,49.6,37.7,23.8
1060,21.4,210.7,29.5,9.3,18.4
1061,54.7,53.5,2,21.4,8.1
1062,27.3,261.3,42.7,54.7,24.2
1063,8.4,239.3,15.5,27.3,15.7
1064,28.9,102.7,29.6,8.4,14
1065,0.9,131.1,42.8,28.9,18
1066,2.2,69,9.3,0.9,9.3
1067,10.2,31.5,24.6,2.2,9.5
1068,11,139.3,14.5,10.2,13.4
1069,27.2,237.4,27.5,11,18.9
1070,38.7,216.8,43.9,27.2,22.3
1071,31.7,199.1,30.6,38.7,18.3
1072,19.3,109.8,14.3,31.7,12.4
1073,31.3,26.8,33,19.3,8.8
1074,13.1,129.4,5.7,31.3,11
1075,89.4,213.4,24.6,13.1,17
1076,20.7,16.9,43.7,89.4,8.7
1077,14.2,27.5,1.6,20.7,6.9
1078,9.4,120.5,28.5,14.2,14.2
1079,23.1,5.4,29.9,9.4,5.3
1080,22.3,116,7.7,23.1,11
1081,36.9,76.4,26.7,22.3,11.8
1082,32.5,239.8,4.1,36.9,12.3
1083,35.6,75.3,20.3,32.5,11.3
1084,33.8,68.4,44.5,35.6,13.6
1085,65.7,213.5,43,33.8,21.7
1086,16,193.2,18.4,65.7,15.2
1087,63.2,76.3,27.5,16,12
1088,73.4,110.7,40.6,63.2,16
1089,51.4,88.3,25.5,73.4,12.9
1090,9.3,109.8,47.8,51.4,16.7
1091,33,134.3,4.9,9.3,11.2
1092,59,28.6,1.5,33,7.3
1093,72.3,217.7,33.5,59,19.4
1094,10.9,250.9,36.5,72.3,22.2
1095,52.9,107.4,14,10.9,11.5
1096,5.9,163.3,31.6,52.9,16.9
1097,22,197.6,3.5,5.9,11.7
1098,51.2,184.9,21,22,15.5
1099,45.9,289.7,42.3,51.2,25.4
1100,49.8,135.2,41.7,45.9,17.2
1101,100.9,222.4,4.3,49.8,11.7
1102,21.4,296.4,36.3,100.9,23.8
1103,17.9,280.2,10.1,21.4,14.8
1104,5.3,187.9,17.2,17.9,14.7
1105,59,238.2,34.3,5.3,20.7
1106,29.7,137.9,46.4,59,19.2
1107,23.2,25,11,29.7,7.2
1108,25.6,90.4,0.3,23.2,8.7
1109,5.5,13.1,0.4,25.6,5.3
1110,56.5,255.4,26.9,5.5,19.8
1111,23.2,225.8,8.2,56.5,13.4
1112,2.4,241.7,38,23.2,21.8
1113,10.7,175.7,15.4,2.4,14.1
1114,34.5,209.6,20.6,10.7,15.9
1115,52.7,78.2,46.8,34.5,14.6
1116,25.6,75.1,35,52.7,12.6
1117,14.8,139.2,14.3,25.6,12.2
1118,79.2,76.4,0.8,14.8,9.4
1119,22.3,125.7,36.9,79.2,15.9
1120,46.2,19.4,16,22.3,6.6
1121,50.4,141.3,26.8,46.2,15.5
1122,15.6,18.8,21.7,50.4,7
1123,12.4,224,2.4,15.6,11.6
1124,74.2,123.1,34.6,12.4,15.2
1125,25.9,229.5,32.3,74.2,19.7
1126,50.6,87.2,11.8,25.9,10.6
1127,9.2,7.8,38.9,50.6,6.6
1128,3.2,80.2,0,9.2,8.8
1129,43.1,220.3,49,3.2,24.7
1130,8.7,59.6,12,43.1,9.7
1131,43,0.7,39.6,8.7,1.6
1132,2.1,265.2,2.9,43,12.7
1133,45.1,8.4,27.2,2.1,5.7
1134,65.6,219.8,33.5,45.1,19.6
1135,8.5,36.9,38.6,65.6,10.8
1136,9.3,48.3,47,8.5,11.6
1137,59.7,25.6,39,9.3,9.5
1138,20.5,273.7,28.9,59.7,20.8
1139,1.7,43,25.9,20.5,9.6
1140,12.9,184.9,43.9,1.7,20.7
1141,75.6,73.4,17,12.9,10.9
1142,37.9,193.7,35.4,75.6,19.2
1143,34.4,220.5,33.2,37.9,20.1
1144,38.9,104.6,5.7,34.4,10.4
1145,9,96.2,14.8,38.9,11.4
1146,8.7,140.3,1.9,9,10.3
1147,44.3,240.1,7.3,8.7,13.2
1148,11.9,243.2,49,44.3,25.4
1149,20.6,38,40.3,11.9,10.9
1150,37,44.7,25.8,20.6,10.1
1151,48.7,280.7,13.9,37,16.1
1152,14.2,121,8.4,48.7,11.6
1153,37.7,197.6,23.3,14.2,16.6
1154,9.5,171.3,39.7,37.7,19
1155,5.7,187.8,21.1,9.5,15.6
1156,50.5,4.1,11.6,5.7,3.2
1157,24.3,93.9,43.5,50.5,15.3
1158,45.2,149.8,1.3,24.3,10.1
1159,34.6,11.7,36.9,45.2,7.3
1160,30.7,131.7,18.4,34.6,12.9
1161,49.3,172.5,18.1,30.7,14.4
1162,25.6,85.7,35.8,49.3,13.3
1163,7.4,188.4,18.1,25.6,14.9
1164,5.4,163.5,36.8,7.4,18
1165,84.8,117.2,14.7,5.4,11.9
1166,21.6,234.5,3.4,84.8,11.9
1167,19.4,17.9,37.6,21.6,8
1168,57.6,206.8,5.2,19.4,12.2
1169,6.4,215.4,23.6,57.6,17.1
1170,18.4,284.3,10.6,6.4,15
1171,47.4,50,11.6,18.4,8.4
1172,17,164.5,20.9,47.4,14.5
1173,12.8,19.6,20.1,17,7.6
1174,13.1,168.4,7.1,12.8,11.7
1175,41.8,222.4,3.4,13.1,11.5
1176,20.3,276.9,48.9,41.8,27
1177,35.2,248.4,30.2,20.3,20.2
1178,23.7,170.2,7.8,35.2,11.7
1179,17.6,276.7,2.3,23.7,11.8
1180,8.3,165.6,10,17.6,12.6
1181,27.4,156.6,2.6,8.3,10.5
1182,29.7,218.5,5.4,27.4,12.2
1183,71.8,56.2,5.7,29.7,8.7
1184,30,287.6,43,71.8,26.2
1185,19.6,253.8,21.3,30,17.6
1186,26.6,205,45.1,19.6,22.6
1187,18.2,139.5,2.1,26.6,10.3
1188,3.7,191.1,28.7,18.2,17.3
1189,23.4,286,13.9,3.7,15.9
1190,5.8,18.7,12.1,23.4,6.7
1191,6,39.5,41.1,5.8,10.8
1192,31.6,75.5,10.8,6,9.9
1193,3.6,17.2,4.1,31.6,5.9
1194,6,166.8,42,3.6,19.6
1195,13.8,149.7,35.6,6,17.3
1196,8.1,38.2,3.7,13.8,7.6
1197,6.4,94.2,4.9,8.1,9.7
1196,8.1,38.2,3.7,13.8,7.6
1197,6.4,94.2,4.9,8.1,9.7
